origin_station_complex_name,day_of_week,hour_of_day,avg(sum_estimated_average_ridership)
1 Av (L),Tuesday,9,1309.4504416666666
1 Av (L),Tuesday,10,730.7196083333333
1 Av (L),Tuesday,11,652.7546916666666
1 Av (L),Tuesday,12,672.8499333333333
1 Av (L),Tuesday,13,736.4583666666667
1 Av (L),Tuesday,14,1074.0756333333334
1 Av (L),Tuesday,15,1394.9342
1 Av (L),Tuesday,16,1404.5440250000001
1 Av (L),Tuesday,17,1611.3083083333333
1 Av (L),Tuesday,18,1505.8578500000003
1 Av (L),Tuesday,19,1173.2921
1 Av (L),Tuesday,20,919.0729166666669
1 Av (L),Tuesday,21,770.2555333333333
1 Av (L),Tuesday,22,604.7817416666667
1 Av (L),Tuesday,23,336.0476083333334
1 Av (L),Wednesday,0,136.84545833333334
1 Av (L),Wednesday,1,52.20149166666666
1 Av (L),Wednesday,2,27.055041666666668
1 Av (L),Wednesday,3,15.500008333333334
1 Av (L),Wednesday,4,16.691333333333336
1 Av (L),Wednesday,5,66.60318333333333
1 Av (L),Wednesday,6,314.07350833333334
1 Av (L),Wednesday,7,955.1208499999999
1 Av (L),Wednesday,8,2071.213225
1 Av (L),Wednesday,9,1344.9341083333331
1 Av (L),Wednesday,10,759.5017416666666
1 Av (L),Wednesday,11,694.0407666666666
1 Av (L),Wednesday,12,697.6769083333334
1 Av (L),Wednesday,13,777.7535083333333
1 Av (L),Wednesday,14,1185.5248166666668
1 Av (L),Wednesday,15,1380.7534166666667
1 Av (L),Wednesday,16,1435.7489416666667
1 Av (L),Wednesday,17,1664.3379249999998
1 Av (L),Wednesday,18,1562.0272000000002
1 Av (L),Wednesday,19,1252.3624250000003
1 Av (L),Wednesday,20,970.4043416666665
1 Av (L),Wednesday,21,838.5949083333334
1 Av (L),Wednesday,22,665.3986833333333
1 Av (L),Wednesday,23,368.743925
103 St (1),Friday,0,34.534058333333334
103 St (1),Friday,1,10.254175
103 St (1),Friday,2,7.07075
103 St (1),Friday,3,7.8461
103 St (1),Friday,4,16.90045833333333
103 St (1),Friday,5,53.53835000000001
103 St (1),Friday,6,153.93556666666663
103 St (1),Friday,7,500.8633583333333
103 St (1),Friday,8,768.0627333333333
103 St (1),Friday,9,588.232675
103 St (1),Friday,10,463.1270083333333
103 St (1),Friday,11,446.27083333333326
103 St (1),Friday,12,446.65239999999994
103 St (1),Friday,13,467.64468333333326
103 St (1),Friday,14,485.530575
103 St (1),Friday,15,570.793725
103 St (1),Friday,16,584.350475
103 St (1),Friday,17,658.4366916666667
103 St (1),Friday,18,660.7423749999999
103 St (1),Friday,19,493.7953499999999
103 St (1),Friday,20,364.13118333333335
103 St (1),Friday,21,252.5298416666667
103 St (1),Friday,22,193.61059999999998
103 St (1),Friday,23,123.07952500000003
103 St (1),Monday,0,30.223991666666667
103 St (1),Monday,1,10.088066666666666
103 St (1),Monday,2,7.367175
103 St (1),Monday,3,7.270541666666666
103 St (1),Monday,4,16.558966666666667
103 St (1),Monday,5,57.57694999999999
103 St (1),Monday,6,160.35055000000003
103 St (1),Monday,7,539.3508499999999
103 St (1),Monday,8,937.8001999999998
103 St (1),Monday,9,629.6465916666667
103 St (1),Monday,10,449.77675000000005
103 St (1),Monday,11,409.6855083333334
103 St (1),Monday,12,403.33501666666666
103 St (1),Monday,13,442.9304
103 St (1),Monday,14,432.36980833333337
103 St (1),Monday,15,511.4737833333333
103 St (1),Monday,16,561.7636249999999
103 St (1),Monday,17,583.8244083333333
103 St (1),Monday,18,502.19919166666665
103 St (1),Monday,19,343.58885833333335
103 St (1),Monday,20,314.2806666666667
103 St (1),Monday,21,178.6600083333333
103 St (1),Monday,22,114.663125
103 St (1),Monday,23,66.64238333333334
103 St (1),Saturday,0,58.603675
103 St (1),Saturday,1,18.21105833333333
103 St (1),Saturday,2,9.446050000000001
103 St (1),Saturday,3,7.185691666666667
103 St (1),Saturday,4,11.721391666666667
103 St (1),Saturday,5,22.2453
103 St (1),Saturday,6,60.17016666666666
103 St (1),Saturday,7,133.12673333333333
103 St (1),Saturday,8,234.88705833333336
103 St (1),Saturday,9,327.588125
103 St (1),Saturday,10,374.32155000000006
103 St (1),Saturday,11,409.60027499999995
103 St (1),Saturday,12,435.12555000000003
103 St (1),Saturday,13,443.87124166666666
103 St (1),Saturday,14,390.85544166666676
103 St (1),Saturday,15,378.0934666666667
103 St (1),Saturday,16,375.1529416666667
103 St (1),Saturday,17,391.68893333333335
103 St (1),Saturday,18,405.6539666666667
103 St (1),Saturday,19,372.2744
103 St (1),Saturday,20,272.4025916666667
103 St (1),Saturday,21,205.09131666666667
103 St (1),Saturday,22,184.66931666666673
103 St (1),Saturday,23,119.96865833333334
103 St (1),Sunday,0,59.632641666666665
103 St (1),Sunday,1,17.000175
103 St (1),Sunday,2,9.616891666666666
103 St (1),Sunday,3,6.804366666666667
103 St (1),Sunday,4,10.421116666666665
103 St (1),Sunday,5,18.127274999999997
103 St (1),Sunday,6,37.45909999999999
103 St (1),Sunday,7,100.12844999999999
103 St (1),Sunday,8,188.5010166666667
103 St (1),Sunday,9,263.76209166666666
103 St (1),Sunday,10,332.06946666666664
103 St (1),Sunday,11,365.44731666666667
103 St (1),Sunday,12,395.07262499999996
103 St (1),Sunday,13,405.2581666666667
103 St (1),Sunday,14,383.3637583333334
103 St (1),Sunday,15,345.48267500000003
103 St (1),Sunday,16,327.96545
103 St (1),Sunday,17,304.0663583333333
103 St (1),Sunday,18,291.9342666666667
103 St (1),Sunday,19,227.25398333333337
